Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
round_4,phase3,15,1,D1_2,1,0.016338372171616784,0.9765885509756942,0.003903490323831215,0.003169586528859029
round_4,phase2,15,1,D1_2,2,0.10465849043610326,0.0016338786227918494,0.7062717463084031,0.1874358846327014
round_4,phase1,15,1,D1_2,3,0.00016620909594778052,0.0007084279505652863,0.0005113589386170776,0.998614004014871
round_1,phase3,15,1,D1_2,0,0.9639932412666256,0.0017240007020572093,0.022688771486183874,0.011593986545135021
round_1,phase2,15,1,D1_2,2,0.00012783693839201816,5.379699223762366e-05,0.9997913171389976,2.7048930373096082e-05
round_1,phase1,15,1,D1_2,2,0.00017249888116169023,3.866927114264707e-09,0.9276867444521156,0.07214075279979432
round_3,phase3,16,0,D1_2,1,0.0003390201356623818,0.9955529594557697,9.416621619116933e-07,0.004107078746406371
round_3,phase2,16,0,D1_2,0,0.9999675309185906,8.264269526972678e-25,1.6769181335203118e-05,1.5699900076760425e-05
round_3,phase1,16,0,D1_2,3,0.008308045617187223,0.023107443107197347,8.200943943037317e-07,0.9685836911812197
round_2,phase3,16,0,D1_2,1,0.000714809465267863,0.9954173221634952,6.83203735504246e-06,0.0038610363338809194
round_2,phase2,16,0,D1_2,2,0.013346625124435005,1.9236764328244686e-07,0.9248336177432136,0.06181956476470889
round_2,phase1,16,0,D1_2,3,0.0001393490402755897,5.710416291817201e-06,3.9449851084319815e-08,0.9998549010935828
round_4,phase3,16,0,D1_2,3,0.006916687454378074,0.025244659911514644,2.6142197332768444e-08,0.9678386264919098
round_4,phase2,16,0,D1_2,3,0.012989388897501121,0.0001641001228685889,0.015721987625496973,0.9711245233541331
round_4,phase1,16,0,D1_2,1,0.001099228844864796,0.9881079914936057,0.0006722101191435245,0.01012056954238661
round_1,phase3,16,0,D1_2,2,0.0025315469481679577,4.839641140421655e-08,0.9974684045333871,1.2203361060254772e-10
round_1,phase2,16,0,D1_2,2,0.002105792224130525,8.151604904505399e-09,0.9978937360287875,4.6359547872610656e-07
round_1,phase1,16,0,D1_2,2,0.005006736266056798,0.2601301115170639,0.6696600388869782,0.0652031133299
round_3,phase3,17,0,D1_2,1,0.002321306496313789,0.8534526511708765,5.6642931972553515e-06,0.14422037803961357
round_3,phase2,17,0,D1_2,3,0.013191303556461757,6.718051046814842e-08,0.0002158928597614932,0.9865927364032655
round_3,phase1,17,0,D1_2,3,0.21771014910826,0.008295708333271735,0.0013201984898713246,0.7726739440685955
round_2,phase3,17,0,D1_2,1,0.00010161685107206933,0.9690117490381374,0.010653755500471903,0.020232878610317293
round_2,phase2,17,0,D1_2,2,0.08165984054243319,2.2649589126070257e-05,0.9100606640642618,0.00825684580418076
round_2,phase1,17,0,D1_2,1,0.28791343784153683,0.7106649249272695,3.6654372500336874e-09,0.0014216335657571307
round_4,phase3,17,0,D1_2,1,0.0007706200879906336,0.9791254689157258,0.000222344768363146,0.019881566227921817
round_4,phase2,17,0,D1_2,0,0.9903985221519098,6.460395428755209e-07,1.4155567464484805e-05,0.009586676241081272
round_4,phase1,17,0,D1_2,3,0.004336249819593029,6.051101570056201e-11,0.0418783141085571,0.9537854360113389
round_1,phase3,17,0,D1_2,2,0.034381850164064406,4.284522562992313e-05,0.965528126602115,4.717800819089011e-05
round_1,phase2,17,0,D1_2,2,0.00019190180861312228,3.605798259328429e-18,0.9998080956353015,2.556087158640335e-09
round_1,phase1,17,0,D1_2,1,0.0007813512355183353,0.5385743149737158,0.24818871219226057,0.21245562159850603
round_3,phase3,18,1,D1_2,1,0.003906785325819194,0.6840777376023545,3.4649022841534256e-08,0.3120154424228033
round_3,phase2,18,1,D1_2,1,0.001674985565395786,0.8741128970451196,0.08282936305095624,0.04138275433852664
round_3,phase1,18,1,D1_2,3,6.5214515328233915e-06,1.5316117307038206e-12,1.118062908956737e-15,0.9999934785469353
round_2,phase3,18,1,D1_2,1,0.0005985660468676648,0.9991674374544914,2.445443169449312e-08,0.0002339720442109867
round_2,phase2,18,1,D1_2,3,0.005758887669146798,0.24520202908957012,0.169984560845388,0.5790545223958942
round_2,phase1,18,1,D1_2,1,0.004328089457521823,0.9642700398010097,0.025803286388936638,0.00559858435253304
round_4,phase3,18,1,D1_2,3,7.425801425866943e-05,1.4791652471451528e-13,0.0005090640520325262,0.9994166779335591
round_4,phase2,18,1,D1_2,3,0.0003281640373061003,1.4776520197093554e-07,0.022065859350311325,0.977605828847179
round_4,phase1,18,1,D1_2,0,0.9999999947372302,7.944008468084674e-16,3.6808660099511737e-09,1.5819032167663808e-09
round_1,phase3,18,1,D1_2,0,0.7727682610366492,0.024262533663862895,0.19881049782968152,0.004158707469804966
round_1,phase2,18,1,D1_2,2,0.0009395148123967501,1.6045828099071813e-15,0.9990604851608951,2.6707297502715248e-11
round_1,phase1,18,1,D1_2,2,0.001702629087475158,0.00023684737021506907,0.998026496467049,3.402707526090164e-05
round_3,phase3,19,1,D1_2,3,0.04804474194116974,2.132994250564123e-06,5.639349870066799e-05,0.9518967315658798
round_3,phase2,19,1,D1_2,0,0.9619050502152426,0.00022949832506617194,0.03366789957455521,0.004197551885136107
round_3,phase1,19,1,D1_2,3,0.005730145976114912,0.4870486690893833,0.00030891549302761504,0.5069122694414726
round_2,phase3,19,1,D1_2,3,0.051278779753369405,0.13627479453445293,0.03457386530105351,0.7778725604111231
round_2,phase2,19,1,D1_2,3,0.0008110743729399003,5.543690822372929e-07,0.009303954809312074,0.9898844164486669
round_2,phase1,19,1,D1_2,3,0.009885203526494435,0.0002809554742206667,0.004556934510200775,0.9852769064890832
round_4,phase3,19,1,D1_2,0,0.9819231591461481,0.0001664902149899818,0.017785929965342905,0.0001244206735204594
round_4,phase2,19,1,D1_2,3,6.846321453107373e-05,3.0955776551281577e-14,6.506396806474804e-05,0.9998664728173723
round_4,phase1,19,1,D1_2,1,0.07842089350642849,0.4917746852174941,0.1809918413634055,0.2488125799126719
round_1,phase3,19,1,D1_2,1,0.01246199016522933,0.716505913626331,0.2550039985256723,0.016028097682768607
round_1,phase2,19,1,D1_2,2,0.004204827094420601,0.02006890790105815,0.9592193944822083,0.016506870522314098
round_1,phase1,19,1,D1_2,1,0.0020671015667855196,0.9952390199113537,5.215485861437613e-06,0.002688663036000908
round_3,phase3,20,0,D1_2,3,0.14792069545729356,0.05945427198040136,0.024923216701835525,0.7677018158604711
round_3,phase2,20,0,D1_2,3,0.15316305731412108,0.0014120034014720017,0.046145818821020174,0.7992791204633853
round_3,phase1,20,0,D1_2,0,0.9457260727045298,0.0032297415654580783,6.000068841540663e-12,0.05104418572401057
round_2,phase3,20,0,D1_2,3,3.0705156429604706e-07,5.610164281730557e-12,1.0640825803202927e-07,0.9999995865345677
round_2,phase2,20,0,D1_2,2,0.0017443765922373158,0.04684120030167563,0.9420959296884923,0.009318493417593783
