UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
8.805503,1.4009387,6.121164,2.2577252,7.96967,4.4589033,0.9037188,9.788843,1.9726421,-0.2545687,round_2,phase1,11,0,D1_1
8.810888,1.4560505,5.9561815,2.0253685,7.748064,4.549113,0.87267995,9.91269,2.2249985,-0.21621273,round_4,phase3,11,0,D1_1
8.715172,1.2695895,5.8034883,3.0790777,7.91573,4.145482,1.3542861,10.504815,2.6610227,-0.09421399,round_4,phase2,11,0,D1_1
9.365905,1.791366,5.926485,2.3809137,8.620381,3.8540525,0.6973215,10.627205,1.203768,-0.06589089,round_4,phase1,11,0,D1_1
9.058484,1.0667228,6.187072,2.3491595,8.451174,3.4217148,0.6352167,10.417939,1.2093074,-0.24073064,round_1,phase3,11,0,D1_1
8.794758,0.6818395,6.128548,2.875028,7.672405,3.657913,0.91769046,10.186907,2.1021714,-0.2560351,round_1,phase2,11,0,D1_1
8.996806,0.91715413,6.2085824,2.3889508,8.225727,3.550412,0.7470576,10.460686,1.4366568,-0.5205686,round_1,phase1,11,0,D1_1
8.735815,1.3308822,5.909714,2.1343548,7.9783206,4.3013687,1.0126785,10.366166,2.1519675,-0.45981908,round_3,phase3,12,0,D1_1
8.856984,2.2184021,5.4160023,2.6098206,8.344047,4.428036,1.0551912,10.600796,2.1981435,0.61462843,round_3,phase2,12,0,D1_1
8.825466,1.2094387,6.2820597,2.5244577,7.8990817,4.3435755,0.9680036,9.653269,1.9808134,-0.33541894,round_3,phase1,12,0,D1_1
8.7218685,1.055086,5.9426107,2.798304,7.822469,3.9467661,0.96997565,10.272492,2.1856282,-0.09712473,round_2,phase3,12,0,D1_1
8.896675,1.6905602,5.6693335,2.7817142,7.966542,3.9628046,0.5580363,10.150129,1.7830256,0.7462573,round_2,phase2,12,0,D1_1
8.775954,1.3003896,5.9144263,2.507205,8.118487,4.051682,1.159864,10.52359,2.2017174,-0.34993577,round_2,phase1,12,0,D1_1
9.091916,2.0535486,5.4488115,3.448738,7.960786,4.588413,1.3025167,10.590453,2.643151,0.4618991,round_4,phase3,12,0,D1_1
8.972055,1.5942649,5.991476,1.9644988,8.578066,3.890218,0.7396751,10.351386,1.4331819,-0.06424392,round_4,phase2,12,0,D1_1
8.644333,0.5989002,6.0864544,2.7908316,7.702977,3.548769,0.8534843,10.179292,2.09654,-0.1280265,round_4,phase1,12,0,D1_1
8.977325,1.2498693,6.0996504,2.036261,8.475796,3.6299932,0.74094945,10.56359,1.3149118,-0.4443922,round_1,phase3,12,0,D1_1
8.994944,1.1699314,6.150619,2.1209388,8.505198,3.5338545,0.6863152,10.462609,1.2551358,-0.33733913,round_1,phase2,12,0,D1_1
9.048317,1.0431614,6.1879373,2.3521063,8.256403,3.6571639,0.7873255,10.527945,1.4293736,-0.5892822,round_1,phase1,12,0,D1_1
8.895911,1.1858635,6.11738,2.8713908,7.7582383,4.320209,1.0565739,9.996044,2.147828,-0.35355428,round_3,phase3,13,1,D1_1
9.04186,1.5175852,6.0314417,2.9741268,7.721115,4.5761366,0.97540104,9.915617,2.0374537,-0.21692237,round_3,phase2,13,1,D1_1
9.081407,1.8778886,5.5885625,3.392173,7.82926,4.6356254,1.2964927,10.478528,2.6053483,0.26037246,round_3,phase1,13,1,D1_1
9.102531,1.4501032,5.9474936,2.7893834,7.926535,4.3059206,1.1803854,10.368296,2.2366416,-0.299029,round_2,phase3,13,1,D1_1
9.231893,1.8353193,5.9323845,2.6113403,8.112114,4.436637,0.83487886,10.07867,1.7863228,0.13931914,round_2,phase2,13,1,D1_1
8.671201,1.5187913,5.643844,1.9824322,7.6892676,4.5718465,0.92594296,10.381418,2.3632991,-0.22004265,round_2,phase1,13,1,D1_1
9.1378145,1.8229743,5.6809177,3.3253386,7.7993045,4.6896086,1.3489798,10.441849,2.5996494,0.073302284,round_4,phase3,13,1,D1_1
9.105658,1.9758388,5.8831363,2.152918,8.343651,4.3731403,0.71705145,10.075538,1.6222024,0.23734644,round_4,phase2,13,1,D1_1
9.05503,1.3044329,6.1017456,2.6672232,7.9428005,4.184213,1.1296508,10.261686,2.0848808,-0.5105259,round_4,phase1,13,1,D1_1
8.8293295,0.65819025,6.138074,2.6775496,7.8118305,3.6670146,0.8662432,10.370423,1.8757639,-0.48103857,round_1,phase3,13,1,D1_1
8.811692,0.6102447,6.1413474,2.586949,7.8218284,3.5846355,0.78949696,10.41885,1.7945911,-0.520717,round_1,phase2,13,1,D1_1
8.835845,1.4306704,5.9678245,2.0253818,8.100643,4.2913895,0.94484866,10.3172245,1.9465802,-0.4588098,round_1,phase1,13,1,D1_1
9.159415,2.014261,5.5062485,3.5380104,7.798623,4.707773,1.3356721,10.447146,2.7334538,0.40819374,round_3,phase3,14,0,D1_1
9.1807995,1.9351555,5.652952,3.4433284,7.828122,4.820043,1.4386959,10.423896,2.6612463,0.10807926,round_3,phase2,14,0,D1_1
9.246752,1.8295792,5.8224573,3.153967,7.517374,4.5428476,0.6661636,9.928951,1.7739573,0.08530356,round_3,phase1,14,0,D1_1
9.147557,1.345458,6.088343,2.5957768,8.033406,3.947276,0.87888974,10.354571,1.663199,-0.43181536,round_2,phase3,14,0,D1_1
8.60263,0.2457465,6.2089825,3.2524629,7.583135,2.8645408,0.5600259,9.825375,1.8254682,0.5542789,round_2,phase2,14,0,D1_1
9.026092,1.3385571,6.079097,2.425116,8.110679,4.118722,1.0551151,10.360369,1.9316372,-0.5171518,round_2,phase1,14,0,D1_1
9.10189,1.9798917,5.456199,3.6511407,7.8529797,4.6200895,1.3420274,10.530868,2.7763636,0.5930914,round_4,phase3,14,0,D1_1
9.061113,1.5397682,5.8269877,3.3427627,7.765719,4.510837,1.2053307,10.306921,2.372844,-0.0040201247,round_4,phase2,14,0,D1_1
8.938142,1.4144552,5.951329,2.5673633,7.923351,4.392756,1.1527005,10.37773,2.2216125,-0.48200917,round_4,phase1,14,0,D1_1
8.695799,0.4979549,6.0907,2.6024902,7.6816754,3.5282633,0.7491781,10.383145,1.9272192,-0.41127175,round_1,phase3,14,0,D1_1
9.170227,1.7647815,5.8318048,3.1055908,7.585686,4.4661446,0.64959407,10.018823,1.6983267,0.015304429,round_1,phase2,14,0,D1_1
8.975576,1.0684005,5.9153914,3.3310623,7.488851,3.90346,0.91842085,10.058282,2.2972372,0.2517741,round_1,phase1,14,0,D1_1
8.595073,1.8101046,5.606265,1.5557077,8.631276,3.9580216,0.7388191,10.619474,1.6951014,0.21245904,round_3,phase3,15,1,D1_2
7.9993677,1.6064409,5.270811,1.4917498,8.066223,4.016203,0.6733452,10.545018,2.2677517,0.66095084,round_3,phase2,15,1,D1_2
7.8045816,1.8487442,5.159004,0.5649839,8.613027,3.4938104,0.600465,10.751514,1.9481198,0.78603673,round_3,phase1,15,1,D1_2
7.464563,1.3907056,5.0574064,0.26864752,8.5363455,3.560809,0.38850662,10.84889,2.0072072,0.67788655,round_2,phase3,15,1,D1_2
7.546611,1.4003284,5.109546,0.17278181,8.667927,3.782832,0.25708526,10.753142,1.8507353,0.60196424,round_2,phase2,15,1,D1_2
9.043471,1.3971206,6.090158,1.9522972,8.675995,3.6318343,0.6644954,10.490174,1.1786598,-0.24908008,round_2,phase1,15,1,D1_2
7.346848,1.6527766,4.839287,0.19313891,8.613204,3.4751115,0.47524178,11.0063925,2.221756,0.91257715,round_4,phase3,15,1,D1_2
7.402911,1.3804442,5.0519476,0.021186098,8.661407,3.57594,0.3006618,10.800126,1.9054855,0.73788506,round_4,phase2,15,1,D1_2
7.5132713,1.3308649,5.12347,0.13837935,8.660478,3.7187579,0.25304806,10.750087,1.8435721,0.61393076,round_4,phase1,15,1,D1_2
7.257706,1.4384403,4.880641,-0.047224127,8.664118,3.5683424,0.31329796,10.952286,2.0535371,0.7795028,round_1,phase3,15,1,D1_2
7.367577,1.3391767,4.98977,-0.04977049,8.733097,3.7540226,0.18112575,10.862362,1.8647186,0.66446054,round_1,phase2,15,1,D1_2
7.4919505,1.3932784,5.0561333,0.08549468,8.69791,3.8297255,0.20003459,10.766806,1.8467946,0.6050646,round_1,phase1,15,1,D1_2
8.641548,2.407731,5.212724,2.2413445,8.499408,4.3603325,0.9098029,10.6445265,2.1556013,1.002168,round_3,phase3,16,0,D1_2
7.922074,1.2836568,5.2870793,1.3079497,8.062035,3.9168167,0.61421573,10.743758,2.2605288,0.30269864,round_3,phase2,16,0,D1_2
8.484917,2.0685098,5.2813845,1.9524735,8.527104,4.056227,0.84824693,10.808918,2.0476656,0.6839936,round_3,phase1,16,0,D1_2
