Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1
round_1,phase1,24,1,D1_3,1,0.020151109599103885,0.9798488904008972
round_3,phase3,25,0,D1_5,0,0.819810732034002,0.18018926796599802
round_3,phase2,25,0,D1_5,0,0.9999998010820923,1.989179060842392e-07
round_3,phase1,25,0,D1_5,1,0.028875181964334327,0.9711248180356673
round_2,phase3,25,0,D1_5,0,0.9987670106452194,0.0012329893547813233
round_2,phase2,25,0,D1_5,0,0.9957956230064793,0.004204376993522179
round_2,phase1,25,0,D1_5,1,0.029892006983360864,0.9701079930166385
round_4,phase3,25,0,D1_5,0,0.9912858284743797,0.008714171525620491
round_4,phase2,25,0,D1_5,1,0.08633057733959185,0.9136694226604075
round_4,phase1,25,0,D1_5,1,0.04206228474878115,0.9579377152512202
round_1,phase3,25,0,D1_5,1,0.14640991610478157,0.8535900838952198
round_1,phase2,25,0,D1_5,1,0.02559645006781357,0.9744035499321855
round_1,phase1,25,0,D1_5,0,0.9917290278934372,0.008270972106562413
round_3,phase3,26,1,D1_5,0,0.9661664885744025,0.033833511425595854
round_3,phase2,26,1,D1_5,0,0.5023646667677663,0.4976353332322338
round_3,phase1,26,1,D1_5,0,0.9409538014107165,0.059046198589282395
round_2,phase3,26,1,D1_5,0,0.8136934888162034,0.1863065111837975
round_2,phase2,26,1,D1_5,0,0.7333006465851285,0.2666993534148706
round_2,phase1,26,1,D1_5,0,0.9979542863059343,0.0020457136940645955
round_4,phase3,26,1,D1_5,1,0.04156654498490851,0.9584334550150924
round_4,phase2,26,1,D1_5,1,0.13761647611743635,0.8623835238825643
round_4,phase1,26,1,D1_5,1,0.19861844438984066,0.8013815556101592
round_1,phase3,26,1,D1_5,0,0.8805857976579542,0.11941420234204644
round_1,phase2,26,1,D1_5,0,0.9999676407819893,3.235921800928715e-05
round_1,phase1,26,1,D1_5,1,0.028480581373731707,0.97151941862627
