Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_1,phase1,16,0,D1_2,3,8.967041e-19,2.7144852e-18,2.1383477e-21,1.0,8e-44,1.0586022e-08
round_3,phase3,17,0,D1_2,4,4.5053143e-13,1.242957e-26,0.0,0.0,1.0,1.1838009e-25
round_3,phase2,17,0,D1_2,1,1.2888834e-08,1.0,3.498461e-15,5.42232e-40,6.86733e-40,0.0
round_3,phase1,17,0,D1_2,5,1.7567614e-09,0.0,0.0,0.0,3.3109465e-32,1.0
round_2,phase3,17,0,D1_2,4,0.17501156,8.58249e-28,0.0,9.8e-44,0.8249886,0.0
round_2,phase2,17,0,D1_2,2,7.651385e-20,4.4882633e-13,1.0,6.1046717e-17,0.0,7.306374e-14
round_2,phase1,17,0,D1_2,4,1.1521404e-06,1.65e-43,0.0,1.04e-43,0.99999905,1.0487717e-36
round_4,phase3,17,0,D1_2,4,3.160809e-10,2.3379106e-24,0.0,0.0,1.0,4.2e-44
round_4,phase2,17,0,D1_2,2,4.5588585e-12,0.0,0.99998283,1.7305749e-05,2.16e-43,0.0
round_4,phase1,17,0,D1_2,1,0.016329596,0.98367053,1.5551908e-35,0.0,7.218274e-30,0.0
round_1,phase3,17,0,D1_2,2,4.8915607e-18,6.361738e-19,0.99999905,5.072336e-07,0.0,2.5387231e-12
round_1,phase2,17,0,D1_2,2,2.4769519e-14,5.2939354e-36,1.0,8.49377e-09,0.0,0.0
round_1,phase1,17,0,D1_2,0,0.9999976,0.0,8.071813e-39,2.5009418e-16,2.2151357e-06,0.0
round_3,phase3,18,1,D1_2,0,1.0,1.1027965e-33,0.0,6.6515146e-14,5.1901607e-34,0.0
round_3,phase2,18,1,D1_2,0,0.9999981,0.0,0.0,1.820134e-06,1.2476886e-07,1.5617383e-25
round_3,phase1,18,1,D1_2,4,2.0766756e-11,7.257611e-06,0.0,0.0,0.9999924,0.0
round_2,phase3,18,1,D1_2,4,2.668916e-11,0.0,0.0,1.96e-43,1.0,9.777543e-34
round_2,phase2,18,1,D1_2,1,0.00946035,0.9905398,1.3602818e-07,6.1156002e-18,1.6731536e-21,0.0
round_2,phase1,18,1,D1_2,3,4.8349796e-10,0.0,2.8702615e-34,1.0,5.24e-43,0.0
round_4,phase3,18,1,D1_2,1,9.982733e-05,0.99989986,1.05725346e-17,0.0,2.1088178e-31,0.0
round_4,phase2,18,1,D1_2,1,9.821478e-13,1.0,5.9181146e-17,0.0,3.7629537e-35,0.0
round_4,phase1,18,1,D1_2,5,1.2432115e-21,2.1655746e-38,4.4315475e-05,4.922941e-38,4.2640786e-37,0.99995613
round_1,phase3,18,1,D1_2,5,6.423144e-14,4.15716e-21,6.8814434e-09,0.000765117,6.172018e-31,0.999235
round_1,phase2,18,1,D1_2,2,1.8490008e-18,6.2446163e-35,1.0,4.50678e-11,0.0,1.8063786e-37
round_1,phase1,18,1,D1_2,3,9.29285e-13,0.0,2.0097693e-32,1.0,4.494659e-26,1.458874e-18
round_3,phase3,19,1,D1_2,5,7.4749945e-13,1.18782086e-20,7.358948e-25,0.0,1.748284e-17,1.0
round_3,phase2,19,1,D1_2,0,0.99160403,0.0,0.0,0.0083957855,6.499186e-16,8.927984e-36
round_3,phase1,19,1,D1_2,4,3.8924347e-05,4.9074294e-14,0.0,1.41446e-40,0.9999609,0.0
round_2,phase3,19,1,D1_2,0,0.99999905,4.6899973e-17,4.196944e-30,1.026104e-06,6.3428775e-29,0.0
round_2,phase2,19,1,D1_2,1,9.964618e-06,0.99999046,2.616e-42,1.78326e-40,2.9175547e-18,2.07e-43
round_2,phase1,19,1,D1_2,1,2.8990245e-05,0.9999709,4.6043706e-19,9.964652e-33,1.2388088e-21,0.0
round_4,phase3,19,1,D1_2,3,1.1920896e-17,7.826309e-38,2.323384e-12,1.0,0.0,0.0
round_4,phase2,19,1,D1_2,1,6.7367736e-08,1.0,4.3862245e-17,0.0,1.4880954e-34,0.0
round_4,phase1,19,1,D1_2,5,7.841369e-16,4.9896546e-26,3.2557998e-17,1.317e-42,8.902668e-24,1.0
round_1,phase3,19,1,D1_2,3,0.0008200585,0.0,5.809927e-21,0.9991802,2.1824e-24,3.2509654e-36
round_1,phase2,19,1,D1_2,0,0.9999995,0.0,0.0,5.026349e-07,7.0253815e-34,2.3961248e-28
round_1,phase1,19,1,D1_2,0,0.9970404,3.6690187e-20,0.0,5.665813e-13,0.002959575,2.1430639e-32
round_3,phase3,20,0,D1_2,0,1.0,2.0632036e-12,0.0,0.0,5.826258e-11,0.0
round_3,phase2,20,0,D1_2,2,6.6070285e-15,0.0,0.99998474,1.5586058e-05,1e-45,0.0
round_3,phase1,20,0,D1_2,4,1.4092057e-13,6.384125e-20,0.0,0.0,1.0,0.0
round_2,phase3,20,0,D1_2,1,1.215981e-07,1.0,6.1447734e-29,0.0,4.4718922e-35,0.0
round_2,phase2,20,0,D1_2,2,4.707259e-13,3.8739897e-25,0.9999466,5.331766e-05,2.4574e-40,1.5121104e-21
