Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_4,phase2,9,1,D1_1,0,0.80446798181506,0.07145556650982263,0.12407645167511694
round_4,phase1,9,1,D1_1,1,0.35355274717127,0.6446026614238066,0.0018445914049232991
round_1,phase3,9,1,D1_1,2,4.655303452422612e-22,1.0892266678720394e-24,1.0
round_1,phase2,9,1,D1_1,0,0.943513427802288,1.5829866291656017e-06,0.05648498921108411
round_1,phase1,9,1,D1_1,0,0.997876641701902,7.766086399598519e-11,0.0021233582204343493
round_3,phase3,10,1,D1_1,0,0.8443663329229967,0.07894290195322722,0.07669076512377689
round_3,phase2,10,1,D1_1,0,0.9811282797927068,0.002429901236038502,0.016441818971253182
round_3,phase1,10,1,D1_1,1,0.3549279249115963,0.643759453847054,0.0013126212413490266
round_2,phase3,10,1,D1_1,0,0.548347748024109,6.676230091598679e-05,0.45158548967497597
round_2,phase2,10,1,D1_1,2,7.15646510320697e-07,0.00020733682859380633,0.9997919475248958
round_2,phase1,10,1,D1_1,0,0.9974121619198346,4.564555462670742e-05,0.0025421925255395975
round_4,phase3,10,1,D1_1,1,0.0028578463742772965,0.9947068222023328,0.0024353314233887284
round_4,phase2,10,1,D1_1,1,0.1254446292977874,0.7442788211835524,0.13027654951865983
round_4,phase1,10,1,D1_1,0,0.7646396966555687,7.108379817322314e-10,0.23536030263359395
round_1,phase3,10,1,D1_1,2,8.041098419256782e-11,6.047695882072185e-10,0.9999999993148201
round_1,phase2,10,1,D1_1,0,0.5020317752715006,5.910693213946251e-08,0.49796816562156754
round_1,phase1,10,1,D1_1,0,0.9928860364940625,2.2408746743281557e-11,0.007113963483527833
round_3,phase3,11,0,D1_1,0,0.8760400255981415,0.12319874043494532,0.0007612339669120494
round_3,phase2,11,0,D1_1,2,8.36704210232665e-08,0.00013736946031935987,0.99986254686926
round_3,phase1,11,0,D1_1,1,0.009903983809375261,0.9849150728400458,0.0051809433505778145
round_2,phase3,11,0,D1_1,1,0.3697724732626931,0.6078494327689867,0.022378093968320616
round_2,phase2,11,0,D1_1,2,0.09753474856658059,0.00020970197829911353,0.9022555494551208
round_2,phase1,11,0,D1_1,0,0.9932625470482133,0.004123645350616784,0.0026138076011703363
round_4,phase3,11,0,D1_1,2,9.123527447353222e-08,1.0514913981651552e-08,0.999999898249813
round_4,phase2,11,0,D1_1,2,0.0580398413310603,0.05261121488886187,0.8893489437800772
round_4,phase1,11,0,D1_1,1,0.004561186767495029,0.9954237552655439,1.5057966961086551e-05
round_1,phase3,11,0,D1_1,0,0.7907811401128465,9.181525437154452e-09,0.20921885070562923
round_1,phase2,11,0,D1_1,2,1.3568975674090774e-08,5.259942774954145e-09,0.9999999811710831
round_1,phase1,11,0,D1_1,0,0.9530354699526608,4.280591575111332e-08,0.04696448724142219
round_3,phase3,12,0,D1_1,2,0.12285465924089098,3.189291882224696e-06,0.8771421514672252
round_3,phase2,12,0,D1_1,1,0.12053669485415605,0.8757054051833237,0.003757899962521129
round_3,phase1,12,0,D1_1,0,0.9939165386265217,0.0001925431413504449,0.005890918232127229
round_2,phase3,12,0,D1_1,0,0.9979808794752729,0.0015715745900006116,0.0004475459347273737
round_2,phase2,12,0,D1_1,2,0.008136166109703696,0.0029309694424268424,0.9889328644478688
round_2,phase1,12,0,D1_1,1,0.0707170347782791,0.8125005966422908,0.11678236857943171
round_4,phase3,12,0,D1_1,1,0.005615701510588808,0.9943412009532833,4.309753612710373e-05
round_4,phase2,12,0,D1_1,1,0.07174018944259064,0.9202606379014472,0.007999172655963286
round_4,phase1,12,0,D1_1,0,0.9817394490615245,1.2984337584394693e-13,0.01826055093834407
round_1,phase3,12,0,D1_1,2,2.7010160300091805e-11,7.82591510864892e-10,0.9999999991904005
round_1,phase2,12,0,D1_1,2,0.0001416835409225586,0.0002696293678250647,0.9995886870912511
round_1,phase1,12,0,D1_1,0,0.9477590201862531,1.6930387051667448e-10,0.05224097964444237
round_3,phase3,13,1,D1_1,0,0.9049531381786925,0.09275157812129525,0.002295283700012699
round_3,phase2,13,1,D1_1,0,0.6150914461504533,0.37306414648190994,0.011844407367637073
round_3,phase1,13,1,D1_1,1,0.023035197649753994,0.9768206876800183,0.00014411467022782442
round_2,phase3,13,1,D1_1,1,0.007178790343041448,0.7245796186053198,0.2682415910516375
round_2,phase2,13,1,D1_1,2,0.1538947988439,0.3030909977137715,0.5430142034423282
round_2,phase1,13,1,D1_1,2,3.87234109787338e-19,1.9366936492908612e-22,1.0
round_4,phase3,13,1,D1_1,1,0.03816287911121718,0.9605995087020871,0.0012376121866965648
round_4,phase2,13,1,D1_1,2,0.180442583520621,0.001354077813270221,0.8182033386661102
round_4,phase1,13,1,D1_1,0,0.9812121167683119,0.007202249432196274,0.011585633799493166
round_1,phase3,13,1,D1_1,0,0.9910233327410658,7.979847880974974e-08,0.008976587460455359
round_1,phase2,13,1,D1_1,0,0.9829595186964758,7.04694427806487e-14,0.017040481303453058
round_1,phase1,13,1,D1_1,0,0.8941501700658974,0.039323211617523286,0.0665266183165801
round_3,phase3,14,0,D1_1,1,0.07001111460457377,0.9297376665754769,0.00025121881994913294
round_3,phase2,14,0,D1_1,1,3.58717002309482e-06,0.8989580132748473,0.10103839955513015
round_3,phase1,14,0,D1_1,2,5.241563157158684e-08,0.0003519640513969359,0.9996479835329705
round_2,phase3,14,0,D1_1,2,5.398562430313209e-10,2.1819925390144678e-13,0.9999999994599271
round_2,phase2,14,0,D1_1,2,0.016443606904723115,1.0565269266207934e-06,0.9835553365683517
round_2,phase1,14,0,D1_1,1,0.017938046137732016,0.9790154950491835,0.0030464588130845473
round_4,phase3,14,0,D1_1,1,0.010702527212275676,0.9892888369674196,8.635820303693408e-06
round_4,phase2,14,0,D1_1,0,0.5937816777344556,0.3646976684683304,0.0415206537972142
round_4,phase1,14,0,D1_1,1,0.05482560813990663,0.9431234489068754,0.0020509429532170943
round_1,phase3,14,0,D1_1,2,0.0031002689071267693,5.190620849615165e-19,0.9968997310928747
round_1,phase2,14,0,D1_1,0,0.6018173562357796,0.018014176790749716,0.3801684669734704
round_1,phase1,14,0,D1_1,0,0.8193648462532881,2.414166503264992e-12,0.18063515374429684
round_3,phase3,15,1,D1_2,1,0.030587854825422638,0.9689904861109325,0.00042165906364414134
round_3,phase2,15,1,D1_2,2,0.13041657578369067,1.8525053667113235e-08,0.8695834056912554
round_3,phase1,15,1,D1_2,0,0.820912552840953,0.15890395705930277,0.020183490099743198
round_2,phase3,15,1,D1_2,2,3.32689172805433e-05,3.954545341913558e-11,0.9999667310431732
round_2,phase2,15,1,D1_2,2,0.002840510046519405,0.18551870833280182,0.8116407816206788
round_2,phase1,15,1,D1_2,0,0.649448095186462,5.605347515509284e-08,0.3505518487600636
round_4,phase3,15,1,D1_2,1,0.0014715418768099806,0.9263248172531436,0.07220364087004809
round_4,phase2,15,1,D1_2,2,0.08570864159262055,0.00011120115612328163,0.9141801572512561
round_4,phase1,15,1,D1_2,0,0.9906338061967653,0.008010655179938451,0.0013555386232955813
round_1,phase3,15,1,D1_2,2,0.0031886317998376015,0.004572428535174395,0.9922389396649879
round_1,phase2,15,1,D1_2,2,8.682025189132339e-05,0.011907781480525887,0.9880053982675814
round_1,phase1,15,1,D1_2,2,0.3573722975798604,2.3286500080883066e-07,0.6426274695551387
round_3,phase3,16,0,D1_2,1,0.012314741126484702,0.9874307188369935,0.00025454003652147707
round_3,phase2,16,0,D1_2,2,3.833954428610583e-06,5.166069080524755e-25,0.9999961660455723
round_3,phase1,16,0,D1_2,0,0.933581809910568,0.06252793754780045,0.0038902525416303303
round_2,phase3,16,0,D1_2,1,0.009275286762907245,0.9892275139327193,0.0014971993043744899
round_2,phase2,16,0,D1_2,2,0.034043956449256486,4.2210895539261463e-07,0.9659556214417893
round_2,phase1,16,0,D1_2,0,0.9933745898004582,0.005410934203031465,0.0012144759965102825
round_4,phase3,16,0,D1_2,0,0.7393733190485726,0.25711292170846195,0.003513759242965311
round_4,phase2,16,0,D1_2,2,0.16960139351743722,0.0022945616687351273,0.8281040448138284
round_4,phase1,16,0,D1_2,1,0.03107688022644192,0.9646495796647041,0.004273540108855506
round_1,phase3,16,0,D1_2,2,2.1072501225793782e-13,0.00010538742680887217,0.9998946125729806
round_1,phase2,16,0,D1_2,2,7.3293304759885814e-06,1.1163390980921202e-14,0.9999926706695146
round_1,phase1,16,0,D1_2,1,0.22365148160266352,0.5368851157801822,0.23946340261715257
round_3,phase3,17,0,D1_2,1,0.16506069133423004,0.8320231416504335,0.0029161670153367916
round_3,phase2,17,0,D1_2,0,0.6867492345503357,1.288995828266805e-07,0.3132506365500817
round_3,phase1,17,0,D1_2,0,0.7268238503712425,0.07752625109530038,0.19564989853345724
round_2,phase3,17,0,D1_2,1,0.2365721539043001,0.7569349637901831,0.00649288230551654
round_2,phase2,17,0,D1_2,2,0.009838063349808192,1.06105565343718e-05,0.9901513260936571
round_2,phase1,17,0,D1_2,1,3.045143410266401e-05,0.9863025239217765,0.013667024644120822
round_4,phase3,17,0,D1_2,1,0.06650515597758,0.9289512226962873,0.004543621326133729
round_4,phase2,17,0,D1_2,2,0.06365164251919729,5.0016237544957674e-08,0.9363483074645635
round_4,phase1,17,0,D1_2,0,0.8540402260144161,4.307911501006683e-11,0.14595977394250595
round_1,phase3,17,0,D1_2,2,2.0121309384929566e-06,0.002652416660552685,0.9973455712085099
